batch_id,compare,pipeline,group,value,Metric,protocols_platforms,labs,type
R_ILM_L4_B1,D5/D6,kallisto,SO,0.8199040535141,RC,R_ILM,L4,isoform
R_ILM_L4_B1,F7/D6,kallisto,SO,0.745992872602265,RC,R_ILM,L4,isoform
R_ILM_L4_B1,M8/D6,kallisto,SO,0.727935334373009,RC,R_ILM,L4,isoform
R_ILM_L4_B2,D5/D6,kallisto,SO,0.840376569177065,RC,R_ILM,L4,isoform
R_ILM_L4_B2,F7/D6,kallisto,SO,0.821304175932108,RC,R_ILM,L4,isoform
R_ILM_L4_B2,M8/D6,kallisto,SO,0.753229203449765,RC,R_ILM,L4,isoform
R_ILM_L4_B3,D5/D6,kallisto,SO,0.878709448027049,RC,R_ILM,L4,isoform
R_ILM_L4_B3,F7/D6,kallisto,SO,0.881475368684159,RC,R_ILM,L4,isoform
R_ILM_L4_B3,M8/D6,kallisto,SO,0.764519204007575,RC,R_ILM,L4,isoform
R_ILM_L5_B1,D5/D6,kallisto,SO,0.855837033490844,RC,R_ILM,L5,isoform
R_ILM_L5_B1,F7/D6,kallisto,SO,0.807944812181272,RC,R_ILM,L5,isoform
R_ILM_L5_B1,M8/D6,kallisto,SO,0.775209434323698,RC,R_ILM,L5,isoform
R_ILM_L5_B2,D5/D6,kallisto,SO,0.863111452281903,RC,R_ILM,L5,isoform
R_ILM_L5_B2,F7/D6,kallisto,SO,0.809123996075529,RC,R_ILM,L5,isoform
R_ILM_L5_B2,M8/D6,kallisto,SO,0.789926779587976,RC,R_ILM,L5,isoform
R_ILM_L5_B3,D5/D6,kallisto,SO,0.659285627513105,RC,R_ILM,L5,isoform
R_ILM_L5_B3,F7/D6,kallisto,SO,0.609779296649172,RC,R_ILM,L5,isoform
R_ILM_L5_B3,M8/D6,kallisto,SO,0.606642208245133,RC,R_ILM,L5,isoform
R_ILM_L6_B1,D5/D6,kallisto,SO,0.846383104306226,RC,R_ILM,L6,isoform
R_ILM_L6_B1,F7/D6,kallisto,SO,0.765939716635277,RC,R_ILM,L6,isoform
