batch_id,compare,pipeline,group,value,Metric,protocols_platforms,labs,type
R_ILM_L6_B1,D5/D6,kallisto,SO,0.837200135594084,RC,R_ILM,L6,isoform
R_ILM_L6_B1,F7/D6,kallisto,SO,0.738339209815166,RC,R_ILM,L6,isoform
R_ILM_L6_B1,M8/D6,kallisto,SO,0.706354882295283,RC,R_ILM,L6,isoform
R_ILM_L8_B1,D5/D6,kallisto,SO,0.842406255134797,RC,R_ILM,L8,isoform
R_ILM_L8_B1,F7/D6,kallisto,SO,0.790918726308898,RC,R_ILM,L8,isoform
R_ILM_L8_B1,M8/D6,kallisto,SO,0.738252640188114,RC,R_ILM,L8,isoform
P_BGI_L3_B1,D5/D6,StringTie2-SO,SO,0.767118180150179,RC,P_BGI,L3,isoform
P_BGI_L3_B1,F7/D6,StringTie2-SO,SO,0.763870032901368,RC,P_BGI,L3,isoform
P_BGI_L3_B1,M8/D6,StringTie2-SO,SO,0.741371077272836,RC,P_BGI,L3,isoform
P_BGI_L6_B1,D5/D6,StringTie2-SO,SO,0.752870137259379,RC,P_BGI,L6,isoform
P_BGI_L6_B1,F7/D6,StringTie2-SO,SO,0.774579482639835,RC,P_BGI,L6,isoform
P_BGI_L6_B1,M8/D6,StringTie2-SO,SO,0.722742327903282,RC,P_BGI,L6,isoform
P_ILM_L1_B1,D5/D6,StringTie2-SO,SO,0.790518659611607,RC,P_ILM,L1,isoform
P_ILM_L1_B1,F7/D6,StringTie2-SO,SO,0.749175122459528,RC,P_ILM,L1,isoform
P_ILM_L1_B1,M8/D6,StringTie2-SO,SO,0.735693160066637,RC,P_ILM,L1,isoform
P_ILM_L2_B1,D5/D6,StringTie2-SO,SO,0.79692843525555,RC,P_ILM,L2,isoform
P_ILM_L2_B1,F7/D6,StringTie2-SO,SO,0.77110325678282,RC,P_ILM,L2,isoform
P_ILM_L2_B1,M8/D6,StringTie2-SO,SO,0.770064531918561,RC,P_ILM,L2,isoform
P_ILM_L5_B1,D5/D6,StringTie2-SO,SO,0.738507737343984,RC,P_ILM,L5,isoform
P_ILM_L5_B1,F7/D6,StringTie2-SO,SO,0.693741256879797,RC,P_ILM,L5,isoform
P_ILM_L5_B1,M8/D6,StringTie2-SO,SO,0.70060004259586,RC,P_ILM,L5,isoform
P_ILM_L6_B1,D5/D6,StringTie2-SO,SO,0.733057582179348,RC,P_ILM,L6,isoform
P_ILM_L6_B1,F7/D6,StringTie2-SO,SO,0.765505125989509,RC,P_ILM,L6,isoform
P_ILM_L6_B1,M8/D6,StringTie2-SO,SO,0.729136477804045,RC,P_ILM,L6,isoform
